code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
4820,"10,759","7,905",,,"1,371",679,"8,499","3,898","1,885"
4826,"12,561,798","5,440,551",,,"202,326","1,414,857","2,378,185","2,561,429","100,007"
4838,"4,561,140","2,825,288",,,"911,575","330,512","1,273,861","2,308,795","757,631"
4840,"2,012,749","1,449,498",,,"3,964,453","165,234","368,513","360,049","1,923,861"
4888,"1,810,866","1,251,276",,,"68,485",,"89,512","319,118","1,498,686"
4901,,,,,,,,,
4917,"39,775","16,143",,,"28,387","10,735","12,031","12,298","5,899"
4918,"2,850,291","113,430",,,"812,079",-,"1,017,042","2,201,325","965,125"
4922,"205,031","103,391",,,"62,892","15,184","26,308","61,608","5,478"
4926,"4,401,315","2,323,792",,,"3,669,948","375,971","1,391,478","1,440,893","527,339"
4936,"2,939,088","1,421,336",,"309,193",,,,"593,506","161,747"
4960,"7,874,082","2,137,101",,,"5,404,031","130,588","356,396","5,970,489","3,147,955"
4963,"21,824,442","3,855,589",,,"15,405,934","942,177","1,684,737","8,732,245","762,711"
4973,"8,096,622","4,369,972",,,"210,343","7,723,637","7,766,638","1,042,889","1,857,375"
4974,"49,115","25,993",,,"29,766",,"1,495","13,191","2,256"
4978,"5,244,972","2,601,406",,,"173,576","543,232","592,137","553,429","103,003"
4979,"16,375","3,402",,"3,599",,,,"12,655","9,729"
4980,"43,259","20,531",,,"22,635",,"6,252","25,552","16,344"
4985,,,,,,,,"55,049","4,846"
4992,"33,132","1,102",,,"8,621","7,319","7,561","14,100","4,896"
4998,"29,866,167","6,578,216",,,"8,466,327","5,726,924","6,326,077","24,112,233","2,236,751"
4999,"16,985,991","5,987,114",,,"4,040,864","734,093","1,242,082","7,630,985","1,387,393"
5013,"19,330","8,077",,,"11,325","10,784","12,511","9,758","6,441"
5021,"605,808","52,972",,,"865,433","122,402","193,303","752,488","507,408"
5070,"2,890,078","1,776,379",,,"869,712",,"621,440","1,733,081","639,012"
5108,,,,,,,,"1,117,454",
5184,"38,922","16,085",,,"20,446","2,805","3,849","14,098","6,469"
5189,,,,,,,,"4,606,176","2,605,440"
5192,"68,751",,,,,,,,
5208,"42,355,204","13,215,508",,,"13,217,395","10,666,038","11,439,946","14,118,258","5,694,340"
