code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
2437,2082493,323572,,,116851,51420,422890,635180,406502
2438,2721380,1454007,,,2488629,533474,771051,492134,6763
2440,11664585,7507254,,,,608165,1903296,4024059,168431
2449,5053,3403,,,62,48,490,1447,197
2453,11332063,9014183,,143377,,7887926,9756828,5639962,8314281
2459,683438,464312,,,55767,152480,193003,189077,114948
2461,23476347,19162996,,,149736,848947,1150250,5632329,140537
2462,13580007,8675933,,,14916813,696381,5273392,11030803,13858161
2464,2397138,1893132,,,3784982,15879,482056,2871270,1026883
2468,3155180,2437123,,,33099,171473,212340,307872,883684
2475,26043695,19406689,,,2533528,93829,1802107,7065744,1251558
2477,4460470,4290583,,,1901,,54254,212750,
2479,1795069,1363429,,,25559,37933,146639,498869,583488
2481,1989085,1594794,,,904303,576734,1279816,423801,105038
2483,5515289,3172634,,,54789,203254,646960,1595330,175367
2484,27986455,19854821,,49261,,187745,312381,9359830,50947
2485,3988,3407,,,8320,,1339,2732,1768
2487,6613065,3671058,,,258696,264269,699504,1871467,282429
2488,3622887,1899524,,,125830,49500,525810,1069189,617095
2489,20275288,9944909,,,148349,2527214,2968953,12275478,249622
2492,8360068,6312933,,,191822,868088,1882147,1765162,28076
2497,46115671,13774158,,,327246,146000,683735,3114850,8206255
2498,51100235,14406093,,,2270060,836806,5003753,44385018,1525101
2499,7967063,2205607,,177014,,,,3708746,1705320
2501,139807,,,129347,,,,207211,
2502,632408,,,816552,,,,1313947,
2533,22698,694,,,24434,1470,2715,22704,5394
2540,13215182,8135338,,,8080318,20078305,26437850,1925513,4379962
2551,11060384,2446214,,,13299238,169330,1483564,11997754,7568608
2573,23467,11590,,,22514,1442,2981,7392,1010
2579,340803,,,454419,,,,179728,
2586,1107900,713627,,,,901809,963255,682548,187917
2588,28268,,,18143,,,,21756,
2594,26508,5756,,,12995,2692,4007,11512,2354
2597,6576259,3203205,,,6088103,83320,222467,2845411,4411604
2599,4450345,883644,,,17787155,1272496,2131500,5101816,12599723
2602,150918,11036,,,100948,29516,38505,78633,60260
