code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
2136,"3,566,601","2,816,854",,,"1,260,584","7,000","260,732","1,460,561","592,245"
2137,"6,328,962","5,786,664",,,"557,120","1,533","610,017","904,702","2,665,874"
2139,"2,637,691","1,653,424",,,"638,818","171,961","499,638","1,946,016","198,437"
2146,"43,979","25,266",,,464,882,"2,681","22,564","9,904"
2148,"7,667,317",,,"142,977",,,,"1,894,223",
2151,"22,388","10,746",,,"57,682",286,"2,695","18,173","35,128"
2152,"7,053,149","6,680,578",,,"311,961","2,095,106","3,018,225","1,207,757","2,130,136"
2153,"23,428","9,868",,,"5,293","2,627","4,729","10,838","1,671"
2154,"21,153","5,875",,984,,,,"13,894","1,312"
2156,"2,024,078","980,218",,,"1,063,391","180,574","1,073,340","1,551,466","830,406"
2157,"9,207,665","7,447,005",,,"24,402,079","398,280","8,673,315","11,030,644","10,969,947"
2158,"5,541,277","3,004,591",,,"1,163,860","888,314","1,081,916","4,046,617","3,251,909"
2159,"6,838,068","4,024,753",,,"119,376","171,681","503,845","2,816,921","268,426"
2162,"21,658,210","4,746,154",,,"7,890,096","17,365","1,022,518","17,460,639","9,344,157"
2163,"3,962,653","3,019,657",,,"106,873","7,261","313,338","805,088","504,042"
2168,"122,297","68,719",,"17,858",,,"15,760","82,366","32,594"
2169,"4,764,966","2,162,046",,,"2,884,137",,"494,158","1,724,430","9,090"
2172,"965,040","575,310",,,"166,863",,"41,821","472,160","235,673"
2176,"2,390,658","655,990",,,"1,476,967",,"131,199","2,038,119","965,446"
2178,"14,085,157","7,451,382",,,"255,380","4,284","577,603","6,003,268","2,364,031"
2179,"3,311,611","1,754,567",,,"3,924,144","34,523","1,270,401","3,688,002","2,482,455"
2180,"5,029,819","2,543,490",,,"421,545",,"604,219","2,502,393","1,588,333"
2183,"9,722,712","5,084,201",,,"701,164","294,423","1,204,882","5,333,824","4,234,202"
2186,"3,485,622","1,992,163",,,"525,932",,"263,004","888,403","163,989"
2191,"800,031","519,953",,,0,"195,866","227,244","49,347","72,100"
2193,"25,473,949",,,"362,108",,,,"1,270,064",
2196,"9,316,483","6,723,607",,,"9,118,087",,"7,628,780","12,054,799","8,522,984"
2198,"3,198,533","1,512,695",,,"11,286,148",,"2,370,961","4,912,189","4,604,825"
2201,"77,051","31,568",,,"82,431","35,583","42,005","48,278","29,714"
2204,"7,921,687","1,146,167",,,"28,479,360","4,954,912","5,741,439","9,156,038","7,182,964"
2206,"168,344","94,998",,,"97,794","40,230","59,088","62,858","44,109"
2207,"13,055","4,445",,,"23,110","37,740","37,896","6,546","21,331"
2208,"35,683","14,794",,,"35,959","2,920","5,844","21,030","7,280"
2209,"9,841,182","839,115",,,"16,766,763","1,388,832","2,712,438","11,254,536","1,966,415"
2211,"33,756","19,739",,,"23,170","6,544","10,947","15,005","3,878"
2212,"261,117","137,125",,,"314,558","73,808","124,176","209,038","156,603"
2215,"5,273","2,306",,,"8,064","1,346","4,569","6,010","3,919"
2216,"7,910,853","1,597,313",,,"9,306,533","180,472","1,476,825","5,408,292","2,346,556"
2218,"4,739,644","2,296,168",,,"8,883,762","597,160","785,848","4,912,688","4,773,084"
2220,"25,577","6,510",,,"45,525","Å¶ÇP 12,545","18,237","22,646","10,346"
2222,"12,614,813","7,309,405",,,"9,928,103","133,354","2,357,930","3,076,980","2,633,554"
2224,"1,408,323","329,090",,,"2,897,224","149,541","306,291","1,876,032","926,109"
2226,"13,214","4,469",,,"11,277",,"2,035","9,471","4,095"
2264,"155,615","19,262",,,"254,336","21,193","35,724","144,906","105,937"
2267,"266,800","176,254",,,"203,045","80,238","159,875","93,546","101,794"
2268,"6,770,771","2,532,385",,,"6,101,110","83,860","3,346,054","4,321,269","2,755,783"
2269,"426,053","40,328",,,"454,994","125,494","169,959","253,011","154,630"
2270,"161,716","21,840",,,"177,277","44,517","56,143","128,558","71,835"
2281,"98,747","12,968",,,"91,060","6,197","23,068","71,957","27,823"
2286,"13,633,516","2,466,245",,,"10,437,707","3,655,811","4,575,706","12,150,810","6,271,381"
2288,"52,269","8,476",,,"60,346","13,314","18,150","43,515","12,351"
2291,"6,290","2,635",,,"6,900","2,305","2,519","7,008","4,495"
2292,"102,409","40,284",,,"52,391","13,220","16,955","48,568","29,319"
2293,"6,469,081","1,960,635",,,"5,180,941","1,545,608","1,783,584","7,030,889","2,789,902"
2294,"11,635","8,017",,,"5,323",108,"1,600","3,479",534
2296,"226,384","50,952",,,"97,595","29,331","48,382","123,041","23,396"
2300,"843,884","463,676",,,"2,071,705","517,004","1,224,692","768,185","697,912"
2301,"5,441,999","4,203,831",,,"848,654","4,017,901","4,529,093","419,607","239,946"
2303,"1,794,727","1,284,753",,,"7,825","103,494","153,941","122,478","46,271"
