code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
7989,38633088,17190759,,13686350.0,2225397.0,4857518.0,9868468,2473474.0
7990,50291,9600,,16001.0,5512.0,9928.0,34242,15909.0
7991,11830211,5499896,,5954204.0,2423268.0,4176165.0,4804628,5467741.0
7992,5525175,2722206,,1149972.0,101004.0,192919.0,1813014,3014858.0
7994,129313,45156,,58245.0,47293.0,54537.0,68971,36726.0
7995,29698,8099,,16494.0,3204.0,5072.0,10764,4653.0
7997,4555194,905074,,4005872.0,1218569.0,1475682.0,4659234,2013121.0
7999,15336,8301,,3455.0,5721.0,6355.0,3553,1400.0
8006,26556,6790,,14582.0,9184.0,11994.0,21006,1537.0
8007,32415,5882,,4326.0,3245.0,5238.0,21595,3072.0
8008,15616,3232,,11013.0,18489.0,23438.0,6802,6654.0
8011,33947,19652,,9363.0,4954.0,7448.0,14570,4893.0
8012,401751,49254,,70896.0,93719.0,103340.0,206139,96016.0
8013,9426,5453,,265.0,1748.0,1987.0,3788,1290.0
8014,90537,14828,,2493.0,12186.0,16733.0,48097,3662.0
8015,3223000,,840629.0,,,,2148720,
8016,80460,21301,,69070.0,14312.0,35854.0,99549,36993.0
8018,22131,17108,,10299.0,13967.0,14706.0,7308,6009.0
8020,420894,,42246.0,,,,284909,
8022,98152,22638,,34825.0,6838.0,16246.0,36115,16847.0
8023,16316681,6419969,,1642696.0,1748734.0,5255595.0,9843809,5768662.0
8025,8024,2359,,13234.0,3548.0,5882.0,9167,6239.0
8031,4207472,,2175072.0,,,,2701722,
8032,160410,11643,,111683.0,36290.0,42811.0,151679,80435.0
8035,1015696,186538,,196967.0,105065.0,195536.0,327661,73140.0
8037,156253,43495,,71913.0,15777.0,23780.0,109724,26866.0
8038,17472,10287,,7461.0,2271.0,2695.0,5955,5848.0
8039,6319,1330,,6294.0,2051.0,2682.0,4071,5785.0
8040,9336829,1276226,,2702503.0,1319975.0,4033402.0,7054195,1949119.0
8041,53769,2069,,11174.0,5435.0,7362.0,39598,9991.0
8043,83568,14750,,29719.0,15046.0,17515.0,42900,29699.0
8045,7290614,3246506,,2893389.0,7573544.0,7643723.0,3259282,2534450.0
8046,33723,3602,,6608.0,1075.0,3581.0,15476,464.0
8050,150039,32611,,103177.0,41463.0,50625.0,145679,60909.0
8051,202475,63734,,13098.0,18052.0,21913.0,127749,10558.0
8052,51883,11935,,1930.0,9380.0,10582.0,33539,2579.0
8053,38807,,3394.0,,,,28139,
8057,125063,23509,,10908.0,9552.0,14555.0,99243,10501.0
8059,102839,33295,,3137.0,9932.0,12661.0,63889,2224.0
8060,380687,65943,,84127.0,11558.0,36977.0,106995,51468.0
8061,81371,15763,,2816.0,11271.0,12436.0,64536,3032.0
8065,82711,2427,,16828.0,14426.0,16196.0,56511,11769.0
8066,185214,93180,,37776.0,11861.0,17804.0,76298,13108.0
8068,47423,7644,,214.0,8143.0,10854.0,19825,1518.0
8070,47057,9037,,12139.0,6114.0,15275.0,38823,8069.0
8071,20615386,2344704,,2600698.0,1323333.0,1969099.0,8661351,4219367.0
8072,5438474,741358,,760265.0,131628.0,250635.0,4174667,591300.0
