code,市場,銘柄名,現在値
2483,東証JQS,翻訳センター,1490
2484,東証JQS,出前館,1771
2485,東証1部,ティア,486
2487,東証1部,ＣＤＧ,1585
2488,東証JQS,ＪＴＰ,760
2489,東証1部,アドウェイズ,915
2491,東証1部,バリューコマース,3070
2492,東証1部,インフォマート,901
2493,東証JQS,イーサポートリンク,1006
2497,マザーズ,ユナイテッド,1409
2498,東証JQS,オリエンタルコンサルタンツホールディングス,2690
2499,東証2部,日本和装ホールディングス,232
2501,東証1部,サッポロホールディングス,2241
2502,東証1部,アサヒグループホールディングス,5161
2503,東証1部,キリンホールディングス,2185
2531,東証1部,宝ホールディングス,1461
2533,東証1部,オエノンホールディングス,392
2540,東証1部,養命酒製造,1855
2551,名証2部,マルサンアイ,3915
2573,東証2部,北海道コカ・コーラボトリング,4230
2579,東証1部,コカ・コーラ　ボトラーズジャパンホールディングス,1837
2586,マザーズ,フルッタフルッタ,280
2587,東証1部,サントリー食品インターナショナル,4060
2588,東証2部,プレミアムウォーターホールディングス,2980
2590,東証1部,ダイドーグループホールディングス,5240
2593,東証1部,伊藤園,6390
2594,東証1部,キーコーヒー,2079
2597,東証1部,ユニカフェ,1002
2599,東証1部,ジャパンフーズ,1237
2602,東証1部,日清オイリオグループ,3045
2607,東証1部,不二製油グループ本社,2829
2612,東証1部,かどや製油,4015
2613,東証1部,Ｊ－オイルミルズ,1920
2651,東証1部,ローソン,5010
2652,東証2部,まんだらけ,567
2653,東証JQS,イオン九州,1958
2654,東証2部,アスモ,541
2656,東証JQS,ベクター,321
2659,東証1部,サンエー,4260
2664,東証1部,カワチ薬品,2329
2666,東証JQS,オートウェーブ,115
2667,東証JQS,イメージ　ワン,751
2668,東証2部,タビオ,1020
2669,東証JQS,カネ美食品,2972
2670,東証1部,エービーシー・マート,6070
2673,東証JQS,夢みつけ隊,124
2674,東証1部,ハードオフコーポレーション,779
2675,東証2部,ダイナックホールディングス,1297
2676,東証1部,高千穂交易,1162
2678,東証1部,アスクル,3640
2681,東証1部,ゲオホールディングス,1192
2683,東証2部,魚喜,1203
2685,東証1部,アダストリア,1841
2686,東証1部,ジーフット,410
2687,東証1部,シー・ヴイ・エス・ベイエリア,400
2689,東証1部,オルバヘルスケアホールディングス,1712
2692,東証1部,伊藤忠食品,5120
2693,東証JQS,ＹＫＴ,292
2694,東証JQS,ジー・テイスト,67
2695,東証1部,くら寿司,3960
2698,東証1部,キャンドゥ,2118
2700,東証JQS,木徳神糧,3510
2702,東証JQS,日本マクドナルドホールディングス,5040
2705,東証JQS,大戸屋ホールディングス,2651
2706,東証JQS,ブロッコリー,1529
2708,東証JQS,久世,708
2715,東証1部,エレマテック,1207
2721,東証JQS,ジェイホールディングス,268
2722,東証1部,アイケイ,780
2726,東証1部,パルグループホールディングス,1580
2729,東証1部,ＪＡＬＵＸ,1610
2730,東証1部,エディオン,1141
2733,東証1部,あらた,4250
2734,東証1部,サーラコーポレーション,611
2735,東証1部,ワッツ,928
2736,東証JQS,フェスタリアホールディングス,1472
2737,東証1部,トーメンデバイス,3975
2742,東証1部,ハローズ,2938
2743,東証JQS,ピクセルカンパニーズ,104
2747,東証JQS,北雄ラッキー,3115
2749,東証1部,ＪＰホールディングス,289
2750,東証JQS,石光商事,463
2751,東証JQS,テンポスホールディングス,2139
2752,東証1部,フジオフードグループ本社,1400
2753,東証1部,あみやき亭,2828
2754,東証JQS,東葛ホールディングス,425
2760,東証1部,東京エレクトロン　デバイス,5890
2761,東証JQS,トシン・グループ,6200
2762,東証2部,三光マーケティングフーズ,254
2763,東証JQS,エフティグループ,1296
2764,東証1部,ひらまつ,164
2767,東証1部,フィールズ,453
2768,東証1部,双日,337
2769,東証JQS,ヴィレッジヴァンガードコーポレーション,982
2773,東証JQS,ミューチュアル,875
2776,東証JQS,新都ホールディングス,75
2777,東証JQS,カッシーナ・イクスシー,827
2778,東証2部,パレモ・ホールディングス,170
2780,東証2部,コメ兵ホールディングス,1088
2782,東証JQS,セリア,3940
2784,東証1部,アルフレッサ　ホールディングス,1710
2788,東証2部,アップルインターナショナル,263
2789,東証JQS,カルラ,416
2790,東証JQS,ナフコ,1998
2791,東証1部,大黒天物産,8620
2792,東証1部,ハニーズホールディングス,1048
2795,東証JQS,日本プリメックス,720
2796,東証1部,ファーマライズホールディングス,783
2798,東証2部,ワイズテーブルコーポレーション,1848
2801,東証1部,キッコーマン,6980
2802,東証1部,味の素,2491
2804,東証1部,ブルドックソース,2262
2805,東証2部,ヱスビー食品,4630
2806,東証2部,ユタカフーズ,1917
2809,東証1部,キユーピー,2616
2810,東証1部,ハウス食品グループ本社,3245
2811,東証1部,カゴメ,3035
2812,東証1部,焼津水産化学工業,987
2813,東証JQS,和弘食品,2550
2814,東証JQS,佐藤食品工業,1565
2815,東証1部,アリアケジャパン,6470
2816,東証2部,ダイショー,1313
2818,東証1部,ピエトロ,1646
2819,東証1部,エバラ食品工業,2617
2820,東証1部,やまみ,2116
2830,東証2部,アヲハタ,2383
2831,東証2部,はごろもフーズ,3135
2871,東証1部,ニチレイ,2870
2872,東証2部,セイヒョー,3260
2874,東証1部,ヨコレイ,906
2875,東証1部,東洋水産,4400
2876,東証JQS,デルソーレ,475
2877,東証JQS,日東ベスト,785
2882,東証1部,イートアンドホールディングス,1837
2883,東証1部,大冷,1935
2884,東証1部,ヨシムラ・フード・ホールディングス,773
2892,東証2部,日本食品化工,1814
2894,東証2部,石井食品,237
2897,東証1部,日清食品ホールディングス,8050
2899,東証1部,永谷園ホールディングス,2269
2901,東証JQS,石垣食品,159
2902,名証2部,太陽化学,1710
2903,東証2部,シノブフーズ,603
2904,東証1部,一正蒲鉾,1007
2905,東証JQS,オーケー食品工業,1143
2907,東証2部,あじかん,848
2908,東証1部,フジッコ,1933
2910,東証1部,ロック・フィールド,1567
2911,東証2部,旭松食品,2192
2914,東証1部,ＪＴ,2179.5
2915,東証1部,ケンコーマヨネーズ,1752
2916,東証JQS,仙波糖化工業,643
2917,東証JQS,大森屋,799
2918,東証1部,わらべや日洋ホールディングス,1963
2919,福証,マルタイ,3580
2922,東証1部,なとり,1940
2923,東証2部,サトウ食品,4920
2924,東証1部,イフジ産業,921
2925,東証1部,ピックルスコーポレーション,3290
2926,東証2部,篠崎屋,122
2927,東証JQS,ＡＦＣ－ＨＤアムスライフサイエンス,956
2928,札幌ア,ＲＩＺＡＰグループ,212
2929,東証1部,ファーマフーズ,3250
2930,東証1部,北の達人コーポレーション,487
2931,東証1部,ユーグレナ,882
2932,東証2部,ＳＴＩフードホールディングス,4430
2933,東証1部,紀文食品,1665
2970,東証JQS,グッドライフカンパニー,1120
2974,福証,大英産業,1180
2975,東証1部,スター・マイカ・ホールディングス,1022
2976,札幌ア,日本グランデ,755
2978,マザーズ,ツクルバ,643
2980,東証1部,ＳＲＥホールディングス,4905
2981,マザーズ,ランディックス,1805
2982,東証1部,ＡＤワークスグループ,162
2983,マザーズ,アールプランナー,2142
2986,東証JQG,ＬＡホールディングス,1318
2987,マザーズ,タスキ,1845
3001,東証1部,片倉工業,1467
3002,東証1部,グンゼ,4375
3003,東証1部,ヒューリック,1227
3004,東証1部,神栄,1271
3010,東証2部,ポラリス・ホールディングス,115
3011,東証2部,バナーズ,118
3020,東証JQS,アプライド,2895
3021,東証2部,パシフィックネット,3115
3023,東証1部,ラサ商事,911
3024,東証JQS,クリエイト,629
3028,東証1部,アルペン,2510
3030,東証1部,ハブ,664
3031,東証1部,ラクーンホールディングス,2981
3032,名古屋セ,ゴルフ・ドゥ,507
3034,東証1部,クオールホールディングス,1520
3035,東証JQS,ケイティケイ,438
3036,東証1部,アルコニックス,1616
3038,東証1部,神戸物産,2864
3040,東証1部,ソリトンシステムズ,1743
3041,東証2部,ビューティ花壇,259
3042,東証JQG,セキュアヴェイル,312
3045,東証2部,カワサキ,1214
3046,東証1部,ジンズホールディングス,7790
3047,福岡Q,ＴＲＵＣＫ－ＯＮＥ,268
3048,東証1部,ビックカメラ,1132
3050,東証1部,ＤＣＭホールディングス,1047
